Test,System Number,System Name,Symbol,Unit,Position,Entry Date,Entry Time,Entry Order Price,Stop Price,Risk%,Quantity,Entry Fill,Entry DPP,Entry Stock Split Ratio,Exit Date,Exit Time,Exit Order Price,Exit Fill,Exit DPP,Dividends,Commission,Forex Carry,Profit,Profit%,Closed Equity,Total Equity,Drawdown,Days in Trade,R Multiple,Custom,Rule,,,,,,04.06.2012,06.06.2012,,,,,,,,
1,1,Donchian w Rule Labels,JGB,1,Long,04.06.2012,Open,"137,39","136,95","3,27%",2,"137,59","12763,2418634",1,06.06.2012,Day,"136,95","136,94","12623,0749811",0,8,0,"-16417,9974754","-3,28%",483434,451891,"9,60%",2,"-1,004961",0,Breakout High Entry, Stop Exit,04.06.2012,06.06.2012,1,,41064,41066,,JGB,,,,,,
1,1,Donchian w Rule Labels,CC,1,Short,04.06.2012,Day,2055,2191,"2,76%",10,2053,10,1,06.06.2012,Day,2191,2193,10,0,40,0,-14040,"-2,81%",469414,448771,"10,20%",2,"-1,0173913",0,Breakout Low Entry, Stop Exit,04.06.2012,06.06.2012,1,,41064,41066,,CC,,LCC-SJB 0.47,-,,,
1,1,Donchian w Rule Labels,TY,1,Long,04.06.2012,Open,"119,546875","118,421875","2,81%",12,"119,59375",1000,1,06.06.2012,Day,"118,421875","118,390625",1000,0,48,0,"-14485,5","-2,90%",454953,444247,"11,20%",2,"-1,03008",0,Breakout High Entry, Stop Exit,04.06.2012,06.06.2012,1,,41064,41066,,TY,-1,TY-LCC 0.56,-,TY-SJB 0.75,,
1,1,Donchian w Rule Labels,US,1,Long,04.06.2012,Open,"141,828125","139,328125","2,86%",5,"142,1875",1000,1,06.06.2012,Day,"139,328125","139,265625",1000,0,20,0,"-14629,375","-2,93%",440333,437752,"12,40%",2,"-1,0232568",0,Breakout High Entry, Stop Exit,04.06.2012,06.06.2012,1,,41064,41066,,US,-1,,,,,
1,1,Donchian w Rule Labels,SB,1,Short,04.06.2012,Open,"27,04","27,95","3,14%",14,"26,95",1120,1,06.06.2012,Day,"27,95","27,96",1120,0,56,0,"-15892,8","-3,18%",424468,422044,"15,60%",2,"-1,0135714",0,Breakout Low Entry, Stop Exit,04.06.2012,06.06.2012,1,,41064,41066,,SB,-1,SB-SJB,,SB-LCC 0.64,-,
1,1,Donchian w Rule Labels,CL,1,Short,04.06.2012,Day,"108,19","111,97","2,33%",3,"108,08",1000,1,07.06.2012,Day,"111,97","111,98",1000,0,12,0,-11712,"-2,34%",412762,392301,"21,50%",3,"-1,003599",0,Breakout Low Entry, Stop Exit,04.06.2012,07.06.2012,1,,41064,41066,,CL,,QM-SJB -0.27,-,QM-LCC 0.02,-,33
1,1,Donchian w Rule Labels,BO,1,Short,04.06.2012,Day,"55,71","57,36","2,86%",14,"55,66",600,1,07.06.2012,Day,"57,36","57,37",600,0,56,0,-14420,"-2,88%",398370,383033,"23,40%",3,"-1,0098039",0,Breakout Low Entry, Stop Exit,04.06.2012,07.06.2012,1,,41064,41066,,BO,,BO2-LCC 0.06,,BO2-SJB 0.09,,QM-BO2 -0.1
1,1,Donchian w Rule Labels,C,1,Short,04.06.2012,Day,"466,5","497,5","2,79%",9,"466,5",50,1,07.06.2012,Day,"497,5","498,25",50,0,36,0,"-14323,5","-2,86%",384065,381552,"23,70%",3,"-1,0267742",0,Breakout Low Entry, Stop Exit,04.06.2012,07.06.2012,1,,41064,41066,,C,,,,,,
1,1,Donchian w Rule Labels,BO,1,Short,14.06.2012,Day,"55,21","56,93","2,69%",10,"55,19",600,1,19.06.2012,Day,"56,93","56,97",600,0,40,0,-10720,"-2,77%",370103,374943,"25,00%",5,"-1,0268199",0,Breakout Low Entry, Stop Exit,14.06.2012,19.06.2012,,,41064,41066,,BO,,,,,,
1,1,Donchian w Rule Labels,LB,1,Short,21.06.2012,Day,"303,8","315,2","2,69%",8,"303,7",110,1,28.06.2012,Day,"315,2","315,3",110,0,32,0,-10240,"-2,72%",361551,360782,"27,80%",7,"-1,0118577",0,Breakout Low Entry, Stop Exit,21.06.2012,28.06.2012,,,41064,41066,,LB,,,,,,
1,1,Donchian w Rule Labels,HG,1,Short,04.06.2012,Open,351,"366,15","2,63%",3,"348,6",250,1,29.06.2012,Day,"366,15","366,3",250,0,24,0,"-13607,4369685","-2,72%",354712,365946,"26,80%",25,"-1,0338034",0,Breakout Low Entry, Stop Exit,04.06.2012,29.06.2012,1,,41064,41066,,HG,,,,,,
1,1,Donchian w Rule Labels,PL,1,Short,28.06.2012,Day,"1445,5","1496,6","2,84%",4,"1444,6",50,1,29.06.2012,Day,"1496,6","1496,7",50,0,16,0,-10436,"-2,85%",344284,353218,"29,40%",1,"-1,0034615",0,Breakout Low Entry, Stop Exit,28.06.2012,29.06.2012,,,41064,41066,,PL,,,,,,
